Date,Username,User tag,Content,Mentions,Reply to
"2026-05-11,21:19:23",biok_ymer,#0,.,,
"2026-05-11,21:19:31",biok_ymer,#0,,,1503433645048991915
"2026-05-11,21:19:44",biok_ymer,#0,,,
"2026-05-11,21:20:20",samin__,#0,"— Розария Зипл —

Девушка, не привычная к таким сборищам народа явно была не в своей тарелке. Все куда-то бежали, все куда-то спешили, а в добавок кто-то ещё и подгонял тех в след. Во всём этом сумбуре Роза сделала единственное верное по её мнению решение. Остановиться и просто оглядеться приходя в себя

Столь величественных и монументальных строений девушка видела за свою жизнь не много, а чтобы понимать что тут пройдут годы её жизни и вовсе ввергало ту в ужас. От переизбытка чуств ту даже потрясывало, однако не из страха перед неизвестностью, а скорее предвкушением перед тем что её ждёт. Та даже не сомневалась что тут начинается новый том её жизни, однако... а что тут делать то? И... а чему тут вообще учат по итогу?",biok_ymer,1503461570020245566
"2026-05-12,00:42:28",ktoia,#0,"— Бенрир Аста —

Прекрасный день! Даже более того - долгожданный. Бенрир прибыл в город ещё затемно, следуя последним наставлениям родителей: ""Впитывай, не отвлекайся на пустое, помни - знания - единственная истинная ценность"". Что ж, он и не собирался отвлекаться. Правда, о том, как именно впитывать и где искать, ему не сказали. Но ничего, разберётся на месте!

И вот он стоит посреди огромной площади, забитой людьми. Толкучка - ужасная! Со всех сторон мельтешат спины, локти и чьи-то сумки. Бенрир слегка приспустил свою обычную лучезарность, нахмурился и принялся крутить головой, пытаясь понять, куда собственно идти. В этом городе он впервые, как и большинство здесь. Строения его не привлекали - просто камень с дырами, пусть и величественный. Его интересовало другое: знания, которые хранились внутри. Учёба? Учёба на втором плане. Сначала нужно понять, где здесь можно найти что-то по-настоящему полезное. Библиотека? Лекционные залы? А может, подвалы, где когда-нибудь кого-то взорвали?

Бенрир засунул руки в карманы и стараясь наступать на ноги прохожим, начал пробираться сквозь толпу, изредко извиняясь за свою неуклюжесть. Парень шел вперед и его точно не остановить! Ой наступил на еще одну ногу <@&1503426638447120474>.",biok_ymer,1503461570020245566
"2026-05-12,01:08:41",samin__,#0,"— Розария Зипл —

Смотря на необычную картину, девушка была возбуждена как никогда. Глаза горели, мышцы по всему телу на пределе и... А? Что это?!

Когда на её ногу наступили, та дёрнулась, наступая второй нагой на наступившую на её ногу ногу, ставя подножку человеку, что мирно проходил мимо неё. Запнувшись, та сделала что-то похожий на пьяный реверанс, а после увидив что сделала ||(сам отыграешь упал или споткнулся)|| похлопала глазами говоря:

— Ой, прости что встала на проходе, ты в порядке?",ktoia,1503512646073192528
"2026-05-12,01:24:09",ktoia,#0,"— Бенрир Аста —

Бенрир не понял, что произошло. Секунду назад он пробирался сквозь толпу, сосредоточенный на своих мыслях и вдруг его нога наступила на чью-то чужую ||совершенно не специально||, а в следующее мгновение мир накренился. Чья-то подлая подножка, резкое движение и он уже летит лицом вперёд, в самую гущу незнакомых спин.

Но Бенрир всегда был быстрее, чем казался!!! Рука сама метнулась вперёд, ухватившись за чьё-то плечо - явно женское. Он дёрнул на себя, пытаясь удержать равновесие и чудом не рухнул на землю. Несколько мгновений он буквально висел на девушке, балансируя на одной ноге и плече, как неуклюжий фламинго.

Когда мир наконец перестал кружиться, Бенрир выпрямился и поправил воротник, старательно делая вид, что ничего не произошло.

— Я абсолютно в порядке.

Он отпустил её плечо и засунул руки в карманы, чтобы никто не заметил, как они слегка дрожат, отступил на шаг назад.

— Но признаюсь честно, вы, леди, опасны.....

Парень слегка прочистил горло.

— КХМ. Бенрир Аста, между прочим! Надеюсь, моя голова переживёт наше знакомство. А ваше плече - мою неуклюжесть. Идёт?!",samin__,1503519240739618897
"2026-05-12,09:56:36",samin__,#0,"— Розария Зипл —

Когда нечто повисло на Розарии, та не понимая что происходит просто пыталась **выжить** от чего двинулась назад, чтобы ту не повалили на землю

Ещë пару минут назад та думала что тут всë как-то шумно, однако теперь она скучала по моментам, когда еë смущал только шум, а не весящий на ней парень! Когда тот наконец соизволил бороться с гравитацией сам, без какой либо помощи, девушка выпрямилась, поправляя рубашку, что слегка сползла в этот момент, а после слушая слова паренька сначала не понимающе покосилась на того, а после улыбнувшись приложила руку к сердцу, говоря:

— Розария Зипл, между прочим

После напыщенного приветствия не убирая ухмылку с лица, та второй рукой похлопала незнакомого знакомца по плечу, говоря тому:

— Хах! Что я роковая красотка мне ещë никто так не говорил. Ладно, квиты

Перестав бить по плечу, та задрала голову вверх, осматриваясь и говоря в невзначай:

— И вот что тут происходит? И куда вообще идти, не подскажешь?

Вспомнив что та стоит на ""проходе"", та сделала шаг в сторону, сбивая с ног ещë одного человека понимающе смотря на него, думая про себя ""Да тут что, везде проходы?!""

— Ой, право слово, простите, я не хотела",ktoia,1503523133401858079
"2026-05-12,16:35:21",ktoia,#0,"— Бенрир Аста —  

Бенрир ответил на похлопывание коротким снисходительным кивком - мол, похвала засчитана, но не более. Он хмыкнул, когда девушка назвала себя роковой красоткой и тут же перевёл взгляд на толпу, оценивая, куда лучше двинуться дальше, после этого мимолетного знакомства. Когда она сбила с ног очередного прохожего, он лишь приподнял бровь, но комментировать не стал, хотя в душе осознал, что эта чертовка перегибает: ведь это он хотел его сбить!  

— Розария, значит? Хм... Ладно, пусть будет Рози.  

Он кивнул куда-то в сторону центрального здания, куда в принципе все и собирались.  

— А насчёт того, куда идти... Мм... Судя по всему - нам ВНУТРЬ!  

С этими словами он двинулся вперёд, на ходу закидывая руки за затылок.",samin__,1503652095918866463
"2026-05-12,22:12:06",samin__,#0,"— Розария Зипл —

Извинившись ещё раз перед незнакомцем, та заметила, что первый встреченный ею человек пропал. Оглядевшись, та поняла что тот просто ""переместился"" от чего было принято решение его нагнать. Повторяя его жест, та уворачивалась от встречного потока мяса в форме людей сказала:

— Ладно Бен! Ну и? Что у тебя с лицом. Хи-хи... как будто в колючий куст упал. Чего такого ""изуча-а-ал""?

Договорив, девушка поняла что руки начинают затекать, однако решила пока что их не опускать, повторяя жесты за новым знакомым, которого сбила тут первым",ktoia,1503752445569011793
"2026-05-12,22:27:01",ktoia,#0,"— Бенрир Аста —

Парень не удивился что это раковобольная его догнала. Она выглядела как та еще прилипала и это ему нравится! Он перестал скрещивать руки на затылке и когда распахивал их случайно шлепнул по лицу прохожему, по симу приложив руку к сердце извинился за неакуратность, а после развернувшись к Розари указал на свое лицо, а именно на узоры, улыбаясь говоря:

 — А! Ты про записи? Так у меня дома бумага закончилась, пришлось проявлять находчивость!",samin__,1503837191376207922
"2026-05-12,23:41:55",samin__,#0,"— Розалия Зипл —

Девушка не понимая что делает этот парнишка замешкалась, смотря за его действиями, от чего пока тот говорил попыталась шлëпнуть кого-то по лицу, однако вместо этого заехала по заднице проходящей мимо девушке, что непонимая покасившись по сторонам заприметила парня, что распинался перед такой-же девушкой как и она. Сделав выводы, та не долго думая отвесила <@&1503426893481771008> смачного такого леща, хмыкнув и вертя задом дальше

Роза же не заметила в этом ничего странного. Обычаи конечно тут были странные, однако так или иначе приходилрсь их впитывать. Сделав вывад что это тут вместо рукопожатия, та как ни в чëм не бывало ответила:

— Находчивость... хм... я то думала это татуировки... а ты просто нищий....

Повернув голову в бок, та указала на шею, говоря:

— А у меня много татуировок, не только для красоты конечно, но выглядят и вправду дивно",ktoia,1503840945169498223
"2026-05-13,01:05:07",ktoia,#0,"— Бенрир Аста —

Бенрир потёр щёку, на которой только что расцвел красный след от чужой ладони - кто-то шёл мимо и видимо, решил внести свой вклад в местный фольклор....... Чтож парень не стал возмущаться, ведь подумал что это его последователи, только перевёл взгляд на удаляющуюся задницу, коя его шлепнула и хмыкнул забывая. 

Слово ""нищий"" его впрочем задело. Недолго думая, парень задрал подбородок и выпятил нижнюю губу, изображая оскорблённую гордость, но долго сохранять этот образ не смог тут же усмехнулся и махнул рукой:

— Нищий, говоришь? Нищий, но с фантазией. И... И вообще нет!!! Вообще, у меня всё очень дорогое, просто... Это альтернативно надёжное хранение информации на теле! Эксклюзив.

Он взглянул на Розари, а потом заметил узор на шее и сказал:

— Так... м.. на шее вижу. Много говоришь? Где, ПОКАЖИ.",samin__,1503859794115690517
"2026-05-13,10:47:33",samin__,#0,"— Розалия Зипл —

Девушка непонимающе покивала на слова Бена. Нищий, но с выдумкой. Лучше та сказать и не могла. Судя по окружению писать на своём же теле - это только его фишка, правда записи были откровенно... странные. Но влезать в это **пока что** та не собиралась

Услышав известие о том, что её татуировками заинтересовались, девушка улыбнулась, выкатывая всё что у неё было. Задрав рукава та показала татуировки похожие на шипастые браслеты, говоря:

— Парочка на запястьях

/Приподняв рубашку, та указала на пупок, вокруг которого был вычерчен какой-то символ/
— Печатка на живот и...

Заправив рубашку обратно, та повернулась боком, схватившись за край штанов, едва приспустив те, Розалия быстро отпустила те и щёлкнула Бана по носу со словами:

— А куда это мы засматриваемся? М?

Усмехнувшись, та вновь зашагала в сторону ВХОДА, довольная тем что только что сделала. Вроде как это было в стиле этого местечка... или нет? Это ей ещё предстояло узнать",ktoia,1503880732156760064
"2026-05-13,16:02:35",biok_ymer,#0,"——
|-----------------------------------------------------------------------------|
И вот спустя не долгое(конечно же) пришествие всех людей в главный зал, главные двери закрылись и по центру зала, на сцене стоял беловласый мужчиной, что завладев вниманием толпы, поклонился, а после стал говорить... Это было весьма необычно, ведь его голос отдавался не по ушам, а словно сразу в мозг, отчего казалось, будто он стоял прямо перед каждый человеком в зале, что многих потрясло, однако со временем привыкнув, люди стали его слушать:
<@&1503426638447120474> , <@&1503426893481771008> .
|-----------------------------------------------------------------------------|

—Приветсвую господ и дам в храме знаний, академии Истинного семейства. Здесь вы сможете постичь не бывалых высот ваших взысканий, а также открыть новый путь, к изучению. Я являюсь директором этого места Джеймс Кавендиш, надеюсь на то, что вы сможете много добиться в этом месте.

-Те кто здесь впервые, могу добавить что вам распределят по знаниям и силам под разве классы, дабы вы могли сосредоточиться на конкретном курсе, недели изучать лишний пласт знаний. Отчего попрошу всех подойти к сцене и поговорить со мной наедине, а пока я всех спрашиваю и распределяю, все в этом зале первогодки, отчего можете познакомиться поближе.

/После сказанного мужчина сделал реверанс, а после его голос перестал быть слышен среди всех и ученики стали кто как подходить к нему и о чем-то разговаривать, после чего он о чем-то размышляя кивал и направлял людей в разные группки./

|-----------------------------------------------------------------------------|",samin__,1504027305943765013
"2026-05-13,21:08:16",ktoia,#0,"— Бенрир Аста —

Бенрир даже не успел толком среагировать на щелчок по носу - только моргнул и потёр покрасневший кончик, глядя на удаляющуюся Розалию с выражением в котором смешались лёгкое возмущение и **искреннее уважение к наглости**.

— Ну и характер... не то что я. 

Пробормотав, он усмехнулся, сунув руки в карманы, направился следом.

Внутри главного зала он встал рядом. Голос директора раздающийся прямо в голове, заставил его сначала вздрогнуть, но он быстро взял себя в руки - только бровь приподнял, оценивая необычную технику. Он оглядел зал смотря как люди начали по одному подходить к сцене и не теряя времени заявил:

— Так, Розария! Как думаешь, нас распределят по одному классу или как всегда - талантливых в одну сторону, а таких, как ты в другую?

Он подмигнул, давая понять, что шутит.

— Ладно, пойду узнавать свою судьбу!

Парень медленно зашагал к директору, думая что выкинуть.

||Иди к директору первым.||",samin__,1504027305943765013
"2026-05-14,00:09:18",samin__,#0,"— Розалия Зипл —

Девушка ничуть не удивилась, когда в её уши начали транслировать речь, лишь озираясь на зевак, которые как будто чувствовали это впервые. Покачав головой, та посмотрела на то, как какой-то там Джеймс, каких-то там Кавендишей распинается на сцене. Вслушиваясь в его слова, та уловила только то, что её куда-то там определят и что-то там спросят, в общем ничего сложного или опасного... ТО ЧТО НАДО!

После к ней обратился старый знакомый, который смахивал на нового, девушка надулась, явно не понимая шутки. Надув щёчки, та лишь пожала плечами, понимая что началась кровная вражда с этим нищуком... хотя и она была не лучше

Подойдя к очереди, та удивилась что люди просто стоят и не толкаются, от чего с интересом встала в очередь, наблюдая за порядками. Когда спустя продолжительное время её наконец удостоили чести (которой та не понимали), девушка вышла к какому-то там недо-изначальному или... истинному... в общем вышла к нему и улыбнувшись сказала как будто заучанную фразу:

— Здраствуйте мистер Джеймс, сегодня потрясающая погода, не правда ли?

Подмигнув после сказанного, та не понимала какой в этом смысл, однако отец сказал что это решает все проблемы... только вот как это работает?

||<@1405305963375759440> ||","biok_ymer, ktoia",1504183515703672862
"2026-05-14,00:16:19",biok_ymer,#0,"—Джеймс Кавендиш—
|-----------------------------------------------------------------------------|
Волшебник смотря на девочку с верху вниз, чуть улыбнулся, чуть пригнувшись и говоря с ней более тихо:
|-----------------------------------------------------------------------------|

—Погода и вправду хорошая, приветствую дитя... Хм, мне уже взгляда на тебя ясна что ты весьма...""интересна"". Однако хотел бы уточнить, чем бы ты хотела заняться в академии и на чём строится взыскания твоей семьи. В зависимости от твоих желаний и познаний и будет выбран курс, однако если ты не сможешь определиться, то я сам вам назначу программу.

/На последнем слове парень сильнее ухмыльнулся, акцентируя на нём внимание./

|-----------------------------------------------------------------------------|",samin__,1504229072388100297
"2026-05-14,00:34:06",samin__,#0,"— Розалия Зипл —

Девушке крайне не понравилась фраза ""с первого взгляда"", а ещё ""интересная"", а ПОТОМ ""сам вам назначу программу"". Нахмурившись на мгновение, та вновь расплылась в улыбке, отвечая ну очень странному мужчине:

— Объект исследования ""рассредоточения маны, для создания анти магических барьеров"", а вообще я бы хотела получить доступ к ""запретным знаниям"". Это возможно мистер Джеймс?

Девушка намерено умолчала о том, зачем ей это, не желая выдавать большего необходимого, опасаясь этого ""глазастого""",biok_ymer,1504230841994317936
"2026-05-14,02:31:39",biok_ymer,#0,"—Джеймс Кавендиш—
|-----------------------------------------------------------------------------|
Выслушав направления тот охнул, а услышав о пожелания ахнул! И после чуть задумчиво поднеся руку к своему подбородку, постукивая и говоря:
|-----------------------------------------------------------------------------|

—Вот оно как, а это любопытно! Никто так прямо не хотел нарушить правила академии, мне нравится твоя прямолинейность. Однако...

/На этих словах парень переместил руку с подбородка показывая палец у её рта, словно на какая той замолчать:/
-О таком желании лучше не распространяться. Если ты хочешь туда попасть добейся этого. Любое исследования начинается с сложного пути, отчего если ты сможешь добиться открытия библиотеки по росту влияния или же окольными путями, тогда ты и сможешь получит знания ""анти магических барьеров"". Не думаю что данное знание, так легко даст тебе истинный род однако...

/Мужчина убрал палец, вставая во весь рост и говоря:/
-Для начала тебе бы попривыкнуть к местным устоям, отчего направляю тебя в корпус ""Ищеек"". Захочешь ещё поговорить, буду ждать в своём кабинете, а теперь...

/Закончив свою речь парень помохав пальцем поднял ту в воздух, а после аккуратно переместил к одной из групп, что скорее всего и были ""ищейки""./

|-----------------------------------------------------------------------------|",samin__,1504235317102641315
"2026-05-14,10:36:42",samin__,#0,"— Розалия Зипл —

Девушка явно поняла что этот мужчина понял что она поняла что он понял. Тот не просто не пригрозил ей за еë прямолинейность, а ещë и дал совет как добиться нужных ей знаний, намекая что не будет вставлять палки в колëса, даже если та выберет ""окольные пути"" это озадачило девушку на столько, что весь полëт, та провела в позе мыслителя. Порешив что пока что для этого рана и мистер Джеймс прав, та приняла факт что сейчас ей нужно просто обжиться и привыкнуть к местным НУ ОЧЕНЬ странным порядкам. А вообще, а что за ищейки?

Оглядевши группку, та помахала рукой и улыбчиво сказала:

— Приветствую! Розалия Зипл! А кто такое ищейки то по итогу?",biok_ymer,1504264898929098816
"2026-05-14,11:50:45",ktoia,#0,"— Берир Аста —

Бенрир решил, что ждать своей очереди - удел слабаков и тех, кто не знает, как правильно пробиваться в жизни! ""Что ж, посмотрим"" пробормотал себе под нос и двинулся к сцене.

Первым же делом он влетел плечом в какого-то щуплого парня, который шёл с таким видом, будто уже получил распределение в элитный класс. Бенрир даже не извинился - только хлопнул его по спине со словами:

— Хорошая стойка, брат! Держись! /рванул дальше./

Дальше началось весёлое. Очередь перед директором извивалась змеёй, но Бенрир решил, что змея - это не про него. Он просто начал пробираться вперёд, как рыба против течения, но с куда большей наглостью. ""Простите, простите, я по срочному делу"" говорил он, наступая на людей направо и налево. Один раз он так неудачно развернулся, что заехал локтем в спину долговязому парню, который тут же согнулся пополам, издав звук, похожий на чайку.

— Ой, извини, думал, там столб! 

Ляпнул первое что попалось Бенрир пошел дальше, даже не обернулся.

На полпути он зацепился за чью-то сумку, чуть не упал, но вместо этого случайно дёрнул её на себя и владелец, не удержав равновесия, врезался в компанию людей, которые с криками разлетелись в стороны. На что тот с восхищением сказал, вырываясь из толпы:

— Какая динамика! 

Кто-то попытался его остановить, схватив за рукав, но парень ловко вывернулся, попутно пожав ему руку и сказал:

— Рад знакомству! Потом обсудим!

Он развернулся и тут же лицом к лицу столкнулся с парочкой - парнем и девушкой, которые стояли очень близко друг к другу. Бенрир, не долго думая, развёл их в стороны за плечи, как шторы на сцене.

— Простите, любовь подождёт. Судьба на связи!

Девушка охнула, парень попытался что-то крикнуть, но Бенрир уже был в трёх шагах от директора, толкнув последнего стоящего перед ним студента прямо в спину. Тот сделал шаг вперёд, оказавшись перед директором раньше времени. Однако не-не-не Бенрир же, подойдя, просто отодвинул его за плечи назад говоря:

— Очередь соблюдай!!

И вот... Момент к чему он так стремился, парень повернулся к директору и положив руку на сердце, улыбнулся самой деловой улыбкой в своем исполнении начиная говорить:

— Добрый день. Прошу прощения за это господин Джеймс. Кхм. Толкучка жуткая, оно и понятно почему.

||<@1405305963375759440> ||",biok_ymer,
"2026-05-14,13:40:51",biok_ymer,#0,"—Джеймс Кавендиш—
|-----------------------------------------------------------------------------|
Наблюдая за данной картиной тот даже чуть хихикнул, однако не вмешиваясь тот выслушал представление парня, а после сказал:
|-----------------------------------------------------------------------------|

—Какая яркая фигура что же... Приветствую господин Аста, я так понимаю ваша семья не оставила Надежды в развитии магии самим? В прошлый раз ваш отец был против принимать нашу помощь, предпочитая одинаковые исследования, пойдете ли вы по его стопам или вы все же займетесь тут чем-то другим~?

|-----------------------------------------------------------------------------|",ktoia,1504405601390825532
"2026-05-14,16:35:10",ktoia,#0,"— Берир Аста —

Бенрир на мгновение замер, услышав про отца. Однако через то же мгновение вернулся в ресурс и убрав руку с сердца, стал слегка жестикулируя говорить:

— Отец - человек серьёзный, да и изыскания моей семьи конечно многогранны и я никогда от них не откажусь. Но! Я знаете ли, предпочитаю не повторять чужие пути. Даже если это путь собственного отца! 

Он чуть склонил голову, разглядывая директора с притворным любопытством.

— Поэтому, если у вас есть что-то действительно интересное - не семейное, не стандартное, а такое, от чего у нормальных людей волосы дыбом встают - я готов это изучать. И даже применять. А то я как-то не представляю себя занудой, который всю жизнь будет перебирать старые фолианты и доказывать, что его метод лучше дедушкиного! Мне нужно то, что адаптируется к течению времени. И то, что удивит.",biok_ymer,1504433307335524464
